Company,Profit,Transformed MSE,Weight
CRL,0.002998279333114228,0.361299456255842,0.0017546460383681072
SWK,0.0,0.35175215795924814,0.0017082797102622202
DOW,0.03016603817361812,0.4478086399851666,0.002174776746800813
WY,0.0353420523359067,0.4642904102621993,0.0022548202465104
APD,0.0029859364349092824,0.36126015326972405,0.001754455163935019
MKC,0.0,0.35175215795924814,0.0017082797102622202
AAPL,0.020065080229527223,0.4156445725787389,0.002018572378166143
OTIS,-0.004958381352699385,0.3359633869399316,0.001631601752296716
TDY,0.0,0.35175215795924814,0.0017082797102622202
DLTR,-0.000385889781716978,0.3505233849043264,0.0017023121901468697
HAS,0.039509165354545905,0.47755957787616043,0.002319261783809013
STE,0.030925494702739455,0.45022694636067234,0.002186521219779861
TMUS,0.04597697513296569,0.49815476011892434,0.0024192820144128073
